marca,anio,kilometraje,combustible,garantia,cambio,carroceria,plazas,potencia,puertas,color,precio,vendedor,consumo_medio,certificado,fecha_extraccion,referencia
SMART Forfour Electric Drive Passion,08/2017,28.699 km,Corriente eléctrica,24 meses,Automático,Berlina,4 asientos,82 cv,5 Puertas,NEGRO,12.900 €,"MERCEDES COVISA
Profesional",,No,2025-02-17 11:40:11.279207,ref14816418
BMW X1 sDrive 18dA,06/2022,67.931 km,Diesel,24 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Schwarz (sólido) / Metalizado,32.500 €,"BMW BERNESGA MOTOR
Profesional",,Si,2025-02-17 11:40:18.851751,ref13982447
BMW X5 xDrive 30dA xLine,05/2024,12.356 km,Diesel,24 meses,Automático,Todo Terreno,5 asientos,298 cv,5 Puertas,Alpinweiss sólido / Metalizado,80.900 €,"BMW BERNESGA MOTOR
Profesional",,Si,2025-02-17 11:40:25.965835,ref14345945
BMW X5 xDrive 30dA,12/2022,49.000 km,Diesel,24 meses,Automático,Todo Terreno,5 asientos,286 cv,5 Puertas,Arktikgrau con efecto brillante (metalizado) / Metalizado,71.900 €,"BMW BERNESGA MOTOR
Profesional",,Si,2025-02-17 11:40:33.905231,ref13108624
MERCEDES-BENZ Citan Tourer 110CDI Base,05/2023,43.191 km,Diesel,36 meses,Manual,Monovolumen,5 asientos,95 cv,5 Puertas,Negro / Metalizado,26.975 €,"QUADIS AUTOLICA - ZONA FRANCA
Profesional",,No,2025-02-17 11:40:40.982140,ref14945273
VOLVO V90 B4 Momentum Pro Aut.,04/2021,120.500 km,Gasolina,12 meses,Automático,Stationwagon,5 asientos,197 cv,5 Puertas,Plateado / Metalizado,28.690 €,"CLICARS MADRID
Profesional",,No,2025-02-17 11:40:48.973313,ref13674235
LAND-ROVER Range Rover 2.0 i4 PHEV Autobiography 4WD Aut.,05/2020,39.644 km,Híbrido Enchufable,12 meses,Automático,Todo Terreno,5 asientos,404 cv,5 Puertas,Rojo / Metalizado,84.590 €,"CLICARS MADRID
Profesional",,No,2025-02-17 11:40:56.574984,ref13363569
JAGUAR F-Pace 2.0D l4 MHEV R-Dynamic S Aut. AWD 204,08/2022,17.580 km,Diesel,12 meses,Automático,Todo Terreno,5 asientos,204 cv,5 Puertas,Negro,47.490 €,"CLICARS MADRID
Profesional",,No,2025-02-17 11:41:03.080009,ref13178342
BMW Serie 1 118d xDrive,09/2017,47.000 km,Diesel,12 meses,Manual,Berlina,5 asientos,150 cv,5 Puertas,Negro,24.900 €,"CENTRAL SEMINUEVOS KM 0
Profesional",,No,2025-02-17 11:41:10.798400,ref12862688
BMW X1 sDrive 18dA,01/2021,78.155 km,Diesel,24 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Alpinweiß (sólido) / Metalizado,30.800 €,"BMW BERNESGA MOTOR
Profesional",,Si,2025-02-17 11:41:17.708361,ref13982446
LAND-ROVER Range Rover Evoque 2.0D MHEV S AWD Aut. 150,07/2020,90.661 km,Diesel,12 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Blanco,25.490 €,"CLICARS MADRID
Profesional",,No,2025-02-17 11:41:23.800883,ref13705942
VOLVO V60 Cross Country B4 AWD Aut.,09/2021,133.607 km,Diesel,12 meses,Automático,Todo Terreno,5 asientos,197 cv,5 Puertas,Negro,28.690 €,"CLICARS MADRID
Profesional",,No,2025-02-17 11:41:31.943944,ref14973781
JAGUAR E-Pace 2.0D I4 S AWD Aut. 150,01/2019,88.186 km,Diesel,12 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Rojo / Metalizado,25.990 €,"CLICARS MADRID
Profesional",,No,2025-02-17 11:41:38.987001,ref13069542
PEUGEOT 3008 1.6 BlueHDi Active 120,06/2020,92.337 km,Diesel,12 meses,Manual,Monovolumen,5 asientos,121 cv,5 Puertas,rojo / Metalizado,17.800 €,"AUTOKIA
Profesional",,No,2025-02-17 11:41:45.754088,ref14697813
AUDI A4 AVANT S LINE 40 GTRON S TRONIC,05/2019,90.000 km,Gasolina y corriente eléctrica,12 meses,Automático,Familiar,,170 cv,5 Puertas,Gris / Metalizado,24.990 €,"GESTICAR BILBAO
Profesional",,No,2025-02-17 11:41:54.176402,ref14637242
BMW X2 xDrive 25eA M Sport,07/2021,48.978 km,Híbrido Enchufable,12 meses,Automático,Todo Terreno,5 asientos,220 cv,5 Puertas,Gris / Metalizado,33.490 €,"CLICARS MADRID
Profesional",,No,2025-02-17 11:42:03.272664,ref14470101
SKODA Kamiq 1.0 TSI Ambition 81kW,01/2021,71.284 km,Gasolina,12 meses,Manual,Todo Terreno,5 asientos,110 cv,5 Puertas,azul / Metalizado,18.400 €,"AUTOKIA
Profesional",,No,2025-02-17 11:42:10.576084,ref13866368
RAM Ram pickup Todoterreno Automático de 4 Puertas,11/2024,1 km,Gasolina,24 meses,Automático,"4x4, SUV o pickup",5 asientos,540 cv,4 Puertas,Azul,122.800 €,"HOUSIN AMERICAN CARS
Profesional",,No,2025-02-17 11:42:47.631279,ref14849144
MERCEDES-BENZ Clase A 250e 8G-DCT,10/2020,46.869 km,Híbrido Enchufable,12 meses,Automático,Berlina,5 asientos,218 cv,5 Puertas,Negro,27.490 €,"CLICARS MADRID
Profesional",,No,2025-02-17 11:42:55.216598,ref14967928
NISSAN Ariya Evolve 87 kWh 4x2,09/2023,5.000 km,Corriente eléctrica,36 meses,Automático,Todo Terreno,5 asientos,242 cv,5 Puertas,Ninja Black,51.400 €,"Grupo de Santiago Automoción
Profesional",,No,2025-02-17 11:43:03.854696,ref13191769
LAND-ROVER Range Rover Evoque 2.0D MHEV S AWD Aut. 150,06/2020,114.001 km,Diesel,12 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Gris / Metalizado,26.490 €,"CLICARS MADRID
Profesional",,No,2025-02-17 11:43:12.231921,ref14470113
