marca,anio,localizacion,kilometraje,combustible,distintivo_ambiental,garantia,cambio,carroceria,plazas,potencia,puertas,color,precio,vendedor,consumo_medio,certificado,fecha_extraccion,referencia
FORD Mustang 5.0 Ti-VCT V8+714 CV+RECARO+KAMERA+LED+,06/2019,Madrid,23.000 km,Gasolina,C,12 meses,Automático,Pequeño,,714 cv,3 Puertas,gris / Metalizado,64.900 €,"GERMACARS MOBILITY
Profesional",,No,2025-02-18 11:15:17.922326,ref15231216
FORD Mustang 5.0 Ti-VCT V8 GT350 LOOK Shelby,01/2019,Madrid,41.000 km,Gasolina,C,12 meses,Manual,Pequeño,,450 cv,3 Puertas,negro / Metalizado,43.000 €,"GERMACARS MOBILITY
Profesional",,No,2025-02-18 11:15:45.618010,ref15221898
FORD Focus 2.3 Ecoboost ST 3,12/2020,Madrid,89.552 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,280 cv,5 Puertas,negro / Metalizado,29.690 €,"GERMACARS MOBILITY
Profesional","Consumo medio
7,60
litros/100 km",No,2025-02-18 11:15:53.589509,ref15036704
BMW X4 xDrive 20dA xLine,04/2024,Granada,25.600 km,Diesel,ECO,24 meses,Automático,Coupe,5 asientos,190 cv,5 Puertas,Azul,57.900 €,"FRAMACAR AUTOMOVILES
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:16:00.414864,ref15227266
BMW X4 xDrive 20dA,02/2020,Granada,95.800 km,Diesel,C,12 meses,Automático,Coupe,5 asientos,190 cv,5 Puertas,Rojo,39.490 €,"FRAMACAR AUTOMOVILES
Profesional","Consumo medio
5,00
litros/100 km",No,2025-02-18 11:16:07.869053,ref15304683
FORD Capri Premium RWD Rango Extendido 77kWh,11/2024,Vizcaya,2.100 km,Corriente eléctrica,0 EMISIONES,60 meses,Automático,Todo Terreno,5 asientos,286 cv,5 Puertas,-,41.900 €,"MINTEGUI SERVICIOS, concesionario oficial Ford
Profesional",,Si,2025-02-18 11:16:15.306264,ref15441793
FORD Explorer Premium RWD Rango Extendido 77kWh,11/2024,Vizcaya,2.100 km,Corriente eléctrica,0 EMISIONES,60 meses,Automático,Todo Terreno,5 asientos,286 cv,5 Puertas,Blanco,38.900 €,"MINTEGUI SERVICIOS, concesionario oficial Ford
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:16:22.238697,ref15441792
HYUNDAI Tucson 1.7 CRDI BLUEDRIVE LINK NAV 2WD 115CV 5P,12/2018,Málaga,56.697 km,Diésel,,12 meses,Manual,"4x4, SUV o pickup",,115 cv,5 Puertas,BLANCO POLAR,18.790 €,"Onecar.es Málaga
Profesional",,Si,2025-02-18 11:16:28.911978,ref15441463
MAZDA CX-3 2.0 Style 2WD Aut. 120,01/2017,Barcelona,73.000 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,120 cv,5 Puertas,Blanco,"15.400 €
3%
14.900 €","C. MIRO MOTOR
Profesional","Consumo medio
5,80
litros/100 km",No,2025-02-18 11:16:36.017296,ref11654998
MITSUBISHI Outlander PHEV Kaiteki+ 4WD,08/2019,Madrid,31.407 km,Híbrido Enchufable,0 EMISIONES,Sí,Automático,Todo Terreno,5 asientos,224 cv,5 Puertas,Bronce,"27.890 €
7%
25.990 €","CONQUERO OCASION MADRID
Profesional","Consumo medio
1,80
litros/100 km",No,2025-02-18 11:16:42.246511,ref14853373
