modelo_titulo,provincia,kilometraje,combustible,distintivo_ambiental,garantia,cambio_automatico,carroceria,plazas,potencia,puertas,color,precio,vendedor_profesional,consumo_medio,certificado,fecha_extraccion,referencia,marca_sola,mes_matricula,anio_matricula,nombre_vendedor_profesional,peninsula_y_baleares,comunidad
Mustang 5.0 Ti-VCT V8+714 CV+RECARO+KAMERA+LED+,Madrid,23000,Gasolina,C,12.0,True,Pequeño,,714.0,3,GRIS,64900,True,,False,2025-02-18 11:15:17.922326,15231216,FORD,6,2019,GERMACARS MOBILITY,True,Comunidad de Madrid
Mustang 5.0 Ti-VCT V8 GT350 LOOK Shelby,Madrid,41000,Gasolina,C,12.0,False,Pequeño,,450.0,3,NEGRO,43000,True,,False,2025-02-18 11:15:45.618010,15221898,FORD,1,2019,GERMACARS MOBILITY,True,Comunidad de Madrid
Focus 2.3 Ecoboost ST 3,Madrid,89552,Gasolina,C,12.0,False,Berlina,5.0,280.0,5,NEGRO,29690,True,7.6,False,2025-02-18 11:15:53.589509,15036704,FORD,12,2020,GERMACARS MOBILITY,True,Comunidad de Madrid
X4 xDrive 20dA xLine,Granada,25600,Diésel,ECO,24.0,True,Coupe,5.0,190.0,5,AZUL,57900,True,,False,2025-02-18 11:16:00.414864,15227266,BMW,4,2024,FRAMACAR AUTOMOVILES,True,Andalucía
X4 xDrive 20dA,Granada,95800,Diésel,C,12.0,True,Coupe,5.0,190.0,5,ROJO,39490,True,5.0,False,2025-02-18 11:16:07.869053,15304683,BMW,2,2020,FRAMACAR AUTOMOVILES,True,Andalucía
Capri Premium RWD Rango Extendido 77kWh,Vizcaya,2100,Eléctrico,0 EMISIONES,60.0,True,Todo Terreno,5.0,286.0,5,OTROS,41900,True,,True,2025-02-18 11:16:15.306264,15441793,FORD,11,2024,"MINTEGUI SERVICIOS, concesionario oficial Ford",True,País Vasco
Explorer Premium RWD Rango Extendido 77kWh,Vizcaya,2100,Eléctrico,0 EMISIONES,60.0,True,Todo Terreno,5.0,286.0,5,BLANCO,38900,True,,True,2025-02-18 11:16:22.238697,15441792,FORD,11,2024,"MINTEGUI SERVICIOS, concesionario oficial Ford",True,País Vasco
Tucson 1.7 CRDI BLUEDRIVE LINK NAV 2WD 115CV 5P,Málaga,56697,Diésel,,12.0,False,"4x4, SUV o pickup",,115.0,5,BLANCO,18790,True,,True,2025-02-18 11:16:28.911978,15441463,HYUNDAI,12,2018,Onecar.es Málaga,True,Andalucía
CX-3 2.0 Style 2WD Aut. 120,Barcelona,73000,Gasolina,C,12.0,True,Todo Terreno,5.0,120.0,5,BLANCO,15400,True,5.8,False,2025-02-18 11:16:36.017296,11654998,MAZDA,1,2017,C. MIRO MOTOR,True,Cataluña
Outlander PHEV Kaiteki+ 4WD,Madrid,31407,Híbrido Enchufable,0 EMISIONES,18.0,True,Todo Terreno,5.0,224.0,5,OTROS,27890,True,1.8,False,2025-02-18 11:16:42.246511,14853373,MITSUBISHI,8,2019,CONQUERO OCASION MADRID,True,Comunidad de Madrid
