marca,anio,localizacion,kilometraje,combustible,distintivo_ambiental,garantia,cambio,carroceria,plazas,potencia,puertas,color,precio,vendedor,consumo_medio,certificado,fecha_extraccion,referencia,url,ruta_imagen
PEUGEOT 2008 BlueHDI 81kW (110CV) Allure,02/2021,Valencia,43.297 km,Diésel,,12 meses,Manual,"4x4, SUV o pickup",,110 cv,5 Puertas,Blanco,19.490 €,"PEUMOVIL
Profesional",,No,2025-02-26 20:26:29.232099,ref15372351,https://www.autocasion.com/coches-segunda-mano/peugeot-2008-ocasion/bluehdi-81kw-110cv-allure-167a34f03012ae-ref15372351,E:\hackABoss\pfb-coches\src\extraction/../../img/coches/15372351-0-292300556867a34f0fbbcb26.80277103.jpeg
HONDA Civic 1.8i-VTEC Executive,01/2010,Valencia,113.000 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,140 cv,5 Puertas,Rojo / Metalizado,10.990 €,"MARIANO GUANTER
Profesional","Consumo medio
6,70
litros/100 km",No,2025-02-26 20:26:37.768284,ref15496638,https://www.autocasion.com/coches-segunda-mano/honda-civic-ocasion/civic-1-8i-vtec-executive-ref15496638,E:\hackABoss\pfb-coches\src\extraction/../../img/coches/fb9690b5ca87695fdecfba87171419bfdd188eb7.jpeg
MERCEDES-BENZ Clase A 200,09/2020,Barcelona,35.186 km,Gasolina,C,12 meses,Automático,Berlina mediana o grande,,163 cv,4 Puertas,Plata / Metalizado,30.900 €,"MERCEDES TRACCION
Profesional",,No,2025-02-26 20:26:45.805670,ref15052805,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-a-ocasion/200-167601311e3e23-ref15052805,E:\hackABoss\pfb-coches\src\extraction/../../img/coches/15052805-0-2744041905676013149bb766.09492209.jpeg
MERCEDES-BENZ Clase A 200 d,06/2023,Barcelona,18.274 km,Diésel,,36 meses,Automático,Berlina mediana o grande,,150 cv,5 Puertas,Negro,34.900 €,"MERCEDES TRACCION
Profesional",,No,2025-02-26 20:26:53.134714,ref14357407,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-a-ocasion/200-d-166ec038bcf2e3-ref14357407,E:\hackABoss\pfb-coches\src\extraction/../../img/coches/14357407-0-400090650066ec03908311e2.87861684.jpeg
VOLKSWAGEN Golf 1.9TDI GT Sport 105,09/2007,Toledo,232.323 km,Diesel,B,12 meses,Manual,Berlina,5 asientos,105 cv,5 Puertas,Azul / Metalizado,4.190 €,"PREMIUM CARS
Profesional","Consumo medio
4,50
litros/100 km",No,2025-02-26 20:27:01.843842,ref15372884,https://www.autocasion.com/coches-segunda-mano/volkswagen-golf-ocasion/golf-1-9tdi-gt-sport-105-1-ref15372884,E:\hackABoss\pfb-coches\src\extraction/../../img/coches/69d1f82c03a83ee6b3a5110294b15b7ed59b009f.jpeg
OPEL Zafira Tourer 2.0CDTi Excellence 130,03/2012,Toledo,210.717 km,Diesel,B,12 meses,Manual,Monovolumen,7 asientos,130 cv,5 Puertas,Negro / Metalizado,4.990 €,"PREMIUM CARS
Profesional","Consumo medio
5,20
litros/100 km",No,2025-02-26 20:27:14.016390,ref15424744,https://www.autocasion.com/coches-segunda-mano/opel-zafira-ocasion/zafira-tourer-2-0cdti-excellence-130-ref15424744,E:\hackABoss\pfb-coches\src\extraction/../../img/coches/a4133715f213b83057de9802b8beac061001eedf.jpeg
DACIA Sandero Stepway TCe Comfort 67kW,02/2021,Castellón,23.400 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,91 cv,5 Puertas,-,14.900 €,"AUTERSA CASTELLÓN
Profesional","Consumo medio
4,90
litros/100 km",No,2025-02-26 20:27:23.437317,ref15278920,https://www.autocasion.com/coches-segunda-mano/dacia-sandero-ocasion/sandero-stepway-tce-comfort-67kw-ref15278920,E:\hackABoss\pfb-coches\src\extraction/../../img/coches/15278920-0-1340117691678fe429b17703.95903227.jpeg
DACIA Sandero Stepway TCe Comfort 67kW,03/2021,Castellón,59.304 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,91 cv,5 Puertas,-,13.900 €,"AUTERSA CASTELLÓN
Profesional","Consumo medio
4,90
litros/100 km",No,2025-02-26 20:27:31.634397,ref15444590,https://www.autocasion.com/coches-segunda-mano/dacia-sandero-ocasion/sandero-stepway-tce-comfort-67kw-ref15444590,E:\hackABoss\pfb-coches\src\extraction/../../img/coches/15444590-0-241022601867b4dfd84086e4.91650668.jpeg
MINI Mini Cooper D,03/2016,Las Palmas,60.000 km,Diesel,C,12 meses,Manual,Berlina,4 asientos,116 cv,3 Puertas,Rojo,12.990 €,"GANGA CARS LAS PALMAS
Profesional","Consumo medio
3,50
litros/100 km",No,2025-02-26 20:27:41.117368,ref15178455,https://www.autocasion.com/coches-segunda-mano/mini-mini-ocasion/mini-cooper-d-2-ref15178455,E:\hackABoss\pfb-coches\src\extraction/../../img/coches/15178455-0-4089256820677d988c160044.36477452.jpeg
VOLKSWAGEN Polo 1.6TDI Advance 70kW,04/2021,Madrid,125.000 km,Diesel,C,12 meses,Manual,Berlina,5 asientos,95 cv,5 Puertas,Blanco,"12.990 €
5%
12.350 €","Magod
Profesional","Consumo medio
3,70
litros/100 km",No,2025-02-26 20:27:50.374564,ref15216736,https://www.autocasion.com/coches-segunda-mano/volkswagen-polo-ocasion/polo-1-6tdi-advance-95-ref15216736,E:\hackABoss\pfb-coches\src\extraction/../../img/coches/01828fb8f27204894ff9f744243eae3a4b22655b.jpeg
PEUGEOT 208 1.2 PureTech Access 82,01/2015,Las Palmas,140.000 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,82 cv,5 Puertas,Gris,7.990 €,"GANGA CARS LAS PALMAS
Profesional","Consumo medio
4,50
litros/100 km",No,2025-02-26 20:27:59.482431,ref15268886,https://www.autocasion.com/coches-segunda-mano/peugeot-208-ocasion/208-1-2-puretech-access-82-1-ref15268886,E:\hackABoss\pfb-coches\src\extraction/../../img/coches/15268886-0-2850351275678e5529bc6a77.46549585.jpeg
RENAULT Clio TCe Intens 67kW,11/2021,La Coruña,73.727 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,91 cv,5 Puertas,Blanco,12.900 €,"STELLANTIS & YOU CORUÑA
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-26 20:28:07.648515,ref15185712,https://www.autocasion.com/coches-segunda-mano/renault-clio-ocasion/clio-tce-intens-67kw-ref15185712,E:\hackABoss\pfb-coches\src\extraction/../../img/coches/15185712-0-258869980677eb9ddb69ee7.15193859.jpeg
PEUGEOT 2008 GT Eléctrico 115kW,07/2024,La Coruña,753 km,Corriente eléctrica,0 EMISIONES,24 meses,Automático,Todo Terreno,5 asientos,156 cv,5 Puertas,Gris,30.900 €,"STELLANTIS & YOU CORUÑA
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-26 20:28:17.324521,ref15283913,https://www.autocasion.com/coches-km0/km-0/peugeot-2008-km0/2008-gt-electrico-115kw-ref15283913,E:\hackABoss\pfb-coches\src\extraction/../../img/coches/15283913-0-171737902667910a34876474.12584704.jpeg
HYUNDAI Tucson 1.6 TGDI 48V Maxx 4x2,12/2020,Álava,41.000 km,Gasolina,ECO,12 meses,Manual,Todo Terreno,5 asientos,150 cv,5 Puertas,BLANCO,24.500 €,"CENTRAL SEMINUEVOS KM 0
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-26 20:28:26.867871,ref15280785,https://www.autocasion.com/coches-segunda-mano/hyundai-tucson-ocasion/tucson-1-6-tgdi-48v-maxx-4x2-ref15280785,E:\hackABoss\pfb-coches\src\extraction/../../img/coches/15280785-0-148738641267904a53a05b22.86017811.jpeg
JEEP Compass 1.3 Gse T4 Night Eagle 4x2 130,02/2023,Álava,10 km,Gasolina,C,36 meses,Manual,Todo Terreno,5 asientos,130 cv,5 Puertas,Rojo,29.900 €,"CENTRAL SEMINUEVOS KM 0
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-26 20:28:35.103974,ref12892307,https://www.autocasion.com/coches-segunda-mano/jeep-compass-ocasion/compass-1-3-gse-t4-night-eagle-4x2-130-1-ref12892307,E:\hackABoss\pfb-coches\src\extraction/../../img/coches/12892307-0-340050975966284cd8ea5149.88104535.jpeg
SEAT León ST 1.5 TGI 130 Move DSG 5d,07/2019,Madrid,78.656 km,Gasolina,C,12 meses,Automático,Familiar,,131 cv,5 Puertas,Gris,17.490 €,"INTEGRAL MOTION MADRID
Profesional",,No,2025-02-26 20:28:43.384319,ref15387929,https://www.autocasion.com/coches-segunda-mano/seat-leon-ocasion/leon-st-1-5-tgi-130-move-dsg-5d-167a60c2c8f192-ref15387929,E:\hackABoss\pfb-coches\src\extraction/../../img/coches/15387929-0-177212609867a60c3e698b62.39742137.jpeg
SKODA Kamiq 1.0 TSI Selection 85kW DSG7,05/2024,Barcelona,11.200 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,115 cv,5 Puertas,Blanco,23.850 €,"MAAS PRAGAUTO
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-26 20:29:23.356378,ref15239160,https://www.autocasion.com/coches-segunda-mano/skoda-kamiq-ocasion/kamiq-1-0-tsi-selection-85kw-dsg7-ref15239160,E:\hackABoss\pfb-coches\src\extraction/../../img/coches/15239160-0-202104282767b88478ef8561.26580115.jpeg
SKODA Scala 1.5 TSI Montecarlo DSG 110kW,07/2023,Barcelona,7.600 km,Gasolina,C,12 meses,Automático,Berlina,5 asientos,150 cv,5 Puertas,Gris,"26.900 €
2%
26.400 €","MAAS PRAGAUTO
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-26 20:29:33.083829,ref14765092,https://www.autocasion.com/coches-km0/km-0/skoda-scala-km0/scala-1-5-tsi-montecarlo-dsg-110kw-ref14765092,E:\hackABoss\pfb-coches\src\extraction/../../img/coches/14765092-0-375766715267b8847ccefc26.28220912.jpeg
SKODA Octavia 2.0TDI Selection DSG 110kW,02/2024,Barcelona,9.391 km,Diesel,C,12 meses,Automático,Berlina,5 asientos,150 cv,5 Puertas,Plata,32.400 €,"MAAS PRAGAUTO
Profesional","Consumo medio
4,50
litros/100 km",Si,2025-02-26 20:29:43.702417,ref15071603,https://www.autocasion.com/coches-segunda-mano/skoda-octavia-ocasion/octavia-2-0tdi-selection-dsg-110kw-ref15071603,E:\hackABoss\pfb-coches\src\extraction/../../img/coches/15071603-0-171452745067b8847a947542.23336048.jpeg
