nombre,calle,municipio,provincia,codigo_postal
--AUTOMOVILES VIA NORTE --,C/ Rosalia De Castro 7 - 9,Naron,La coruña,15570
*ACS MOTOR*,"Carretera Villanueva De La Jara, 25",Iniesta,Cuenca,16235
+ QUE COCHES,Avda Pio Xii 85,Talavera de la reina,Toledo,45600
11ELEVEN,Concertar Cita Previa,Madrid,Madrid,28294
13 Premium Cars,"Cars Carrer Benito Pérez Galdós, 27,",Aldaia,Valencia,46960
14 GARAGE,Blasco De Garay 49,Villalbilla,Madrid,28810
2015 GESTIO MOTORS,"Carretera De Girona A Banyoles Km 14,5 Borgonya",Cornella de terri,Girona,17844
24H Lemans,--,Picassent,Valencia,46220
3 RL CARS,"Calle Gremio De Los Carpinteros 8 Nave B Polig , I,",Segovia,Segovia,40195
3D WORLD SPAIN,Concertar Cita Previa,Madrid,Madrid,28030
4X4 LA AZUCARERA,"C/ Cuevas Bajas, 8",Malaga,Málaga,29004
500 MILLAS AUTOMOVILES,"Manacor, 43",Palma de mallorca,Islas baleares,7006
515 Auto-Grs,Concretar Cita Previa,Marbella,Málaga,29602
66 Garage,C/ Norte 1,Moraleja de enmedio,Madrid,28950
77 CARS,Avda. Pilar Calvo S/N Marbella Arena,"Nueva andalucia ,",Málaga,29660
7CARS MOTION,Puerta Del Mar 3 Local 18 (Torre Del Mar),Velez,Málaga,29740
81 MOTOR,"C. De La Zanfona, 2",Valladolid,Valladolid,47012
90 AND ONE TEN,"Calle Del Castell, 2",Rajadell,Barcelona,08256
911 MADRID,Poligono Industrial Neinor,La moraleja,Madrid,28109
A G C,Vizcaya,Vizcaya,Vizcaya,48530
A. J. Investment Logistics Control S.L.,Calle Canalejas 14.,Don benito,,06400
A.ROMAN SANCHEZ S.L,"Av. Ciencia (Pol. Emilio Castro), 5",Alcazar de san juan,Ciudad real,13600
AB CARS LLEIDA,Poligono Al-Kaniz Calle 8 Nave 1,Rosello,Lleida,25124
AB Development SL,"Calle Finlandia 28 , Pol Industrial San Pedro",Malaga,,29670
Ab Marbella Cars,"Carretera De Cadiz (Km 192.5 Elviria),",Marbella,Málaga,29604
AB MOTOR,Avenida Valencia 26,El vergel,Alicante,3770
ABALO SPORT,"Av. Eloy Dominguez Veiga, 10",Catoira,Pontevedra,36612
ABASTAUTO,Concertar Cita Previa,Sant fruitós de bages,Barcelona,08248
ABATE AUTO Cars and Services,Eivissa,Eivissa,Islas baleares,07800
ABEL AUTOMOVILES,Avda. Principal 3 Piedras Blancas,Castrillon,Asturias,33450
AC CAR,Calle Dublin Nº 7,Las rozas,Madrid,28232
AC CAR (Barcelona),Calle Can Magre N1 Local 1,Mollet del valles,Barcelona,08107
AC MACHINERY TRADING S.L.U.,Paraje Calera S/N,Almeria,,04117
AC MACHINERY TRADING SLU,Pje La Calera S/N,Nijar,,04117
AC PERFORMANCE,Albarran 1,Vilagarcia de arousa,Pontevedra,36600
ACAUTO,"Calle Mallorca, 92",Barcelona,Barcelona,08029
ACCIMOVIL,"Avda. Buenos Aires, 7",Guadix - granada,Granada,18500
ACCIÓ VO,Av. Emporda 38 Nave B Pol Ind. Pont Delprincep.,Vilamalla,Girona,17469
ACEROM ASESORES,-,Madrid,Madrid,28600
ACIERTOCARS,Rio Tormes,Algete,Madrid,28110
ACOSTA SERVICES CAR SL,C/ Alcalde Enrique Jorge 3,Playa del ingles,,
"ACTIVACIONS CARRETILLAS, S.L",,,Barcelona,
AD CARMARKET,C/ Huertas Nº5,Arnedo,La rioja,26580
AD.I.M sl,Plaza De Gaudi Local28,Almeria,,04009
ADAM CARS,"Avda. Alcantarilla, 220",Nonduermas,Murcia,30166
ADAM FOSTER,Calle Peru 4 P 1 - 1.,Rozas de madrid,Madrid,28290
ADAPTA-MOVIL,"C/Neptuno, Parc.122 P.i. La Estrell",Molina de segura,Murcia,30500
Adarsa Salamanca Mercedes Benz y Mitsubishi,"Hoces Del Duratón, 25 , Pol. Ind.montalvo Ii",Salamanca,Salamanca,37008
ADEINNOVA CONSULTORES SL,"Carrer Eres, S/N",Artesa del segre,,25739
Adit Car,Concretar Cita Previa,Madrid,Madrid,28939
ADOLFO FERRERO,Calle Barcelona 24 Nave C,Vicolozano,,05194
ADVENTURE CENTER,C/ Regordoño 4,Móstoles,Madrid,28936
ADVENTURE CENTER VN.,Regordoño 4,Mostoles,Madrid,28936
Aelia Motor,"Carrer De La Indústria, 19,",Ripollet,Barcelona,08291
AERO AUTOFACTORIA SPAIN,"Unicef, S/N P.i. Torre Mirona 5-7",Salt,Girona,17190
AF VANS,C/ Alejandro Bell 16,Zaragoza,Zaragoza,50014
AF VANS,C/ Alejandro Bell 16,Zaragoza,Zaragoza,50014
"AFRON, S.A.",,,Madrid,
