nombre,calle,municipio,provincia,codigo_postal
--AUTOMOVILES VIA NORTE --,Calle: C/ Rosalia De Castro 7 - 9,Municipio: Naron,Provincia: La coruña,Código postal: 15570
*ACS MOTOR*,"Calle: Carretera Villanueva De La Jara, 25",Municipio: Iniesta,Provincia: Cuenca,Código postal: 16235
+ QUE COCHES,Calle: Avda Pio Xii 85,Municipio: Talavera de la reina,Provincia: Toledo,Código postal: 45600
11ELEVEN,Calle: Concertar Cita Previa,Municipio: Madrid,Provincia: Madrid,Código postal: 28294
13 Premium Cars,"Calle: Cars Carrer Benito Pérez Galdós, 27,",Municipio: Aldaia,Provincia: Valencia,Código postal: 46960
14 GARAGE,Calle: Blasco De Garay 49,Municipio: Villalbilla,Provincia: Madrid,Código postal: 28810
2015 GESTIO MOTORS,"Calle: Carretera De Girona A Banyoles Km 14,5 Borgonya",Municipio: Cornella de terri,Provincia: Girona,Código postal: 17844
24H Lemans,Calle: --,Municipio: Picassent,Provincia: Valencia,Código postal: 46220
3 RL CARS,"Calle: Calle Gremio De Los Carpinteros 8 Nave B Polig , I,",Municipio: Segovia,Provincia: Segovia,Código postal: 40195
3D WORLD SPAIN,Calle: Concertar Cita Previa,Municipio: Madrid,Provincia: Madrid,Código postal: 28030
4X4 LA AZUCARERA,"Calle: C/ Cuevas Bajas, 8",Municipio: Malaga,Provincia: Málaga,Código postal: 29004
500 MILLAS AUTOMOVILES,"Calle: Manacor, 43",Municipio: Palma de mallorca,Provincia: Islas baleares,Código postal: 7006
515 Auto-Grs,Calle: Concretar Cita Previa,Municipio: Marbella,Provincia: Málaga,Código postal: 29602
66 Garage,Calle: C/ Norte 1,Municipio: Moraleja de enmedio,Provincia: Madrid,Código postal: 28950
77 CARS,Calle: Avda. Pilar Calvo S/N Marbella Arena,"Municipio: Nueva andalucia ,",Provincia: Málaga,Código postal: 29660
7CARS MOTION,Calle: Puerta Del Mar 3 Local 18 (Torre Del Mar),Municipio: Velez,Provincia: Málaga,Código postal: 29740
81 MOTOR,"Calle: C. De La Zanfona, 2",Municipio: Valladolid,Provincia: Valladolid,Código postal: 47012
90 AND ONE TEN,"Calle: Calle Del Castell, 2",Municipio: Rajadell,Provincia: Barcelona,Código postal: 08256
911 MADRID,Calle: Poligono Industrial Neinor,Municipio: La moraleja,Provincia: Madrid,Código postal: 28109
A G C,Calle: Vizcaya,Municipio: Vizcaya,Provincia: Vizcaya,Código postal: 48530
A. J. Investment Logistics Control S.L.,Calle: Calle Canalejas 14.,Municipio: Don benito,Provincia:,Código postal: 06400
A.ROMAN SANCHEZ S.L,"Calle: Av. Ciencia (Pol. Emilio Castro), 5",Municipio: Alcazar de san juan,Provincia: Ciudad real,Código postal: 13600
AB CARS LLEIDA,Calle: Poligono Al-Kaniz Calle 8 Nave 1,Municipio: Rosello,Provincia: Lleida,Código postal: 25124
AB Development SL,"Calle: Calle Finlandia 28 , Pol Industrial San Pedro",Municipio: Malaga,Provincia:,Código postal: 29670
Ab Marbella Cars,"Calle: Carretera De Cadiz (Km 192.5 Elviria),",Municipio: Marbella,Provincia: Málaga,Código postal: 29604
AB MOTOR,Calle: Avenida Valencia 26,Municipio: El vergel,Provincia: Alicante,Código postal: 3770
ABALO SPORT,"Calle: Av. Eloy Dominguez Veiga, 10",Municipio: Catoira,Provincia: Pontevedra,Código postal: 36612
ABASTAUTO,Calle: Concertar Cita Previa,Municipio: Sant fruitós de bages,Provincia: Barcelona,Código postal: 08248
ABATE AUTO Cars and Services,Calle: Eivissa,Municipio: Eivissa,Provincia: Islas baleares,Código postal: 07800
ABEL AUTOMOVILES,Calle: Avda. Principal 3 Piedras Blancas,Municipio: Castrillon,Provincia: Asturias,Código postal: 33450
AC CAR,Calle: Calle Dublin Nº 7,Municipio: Las rozas,Provincia: Madrid,Código postal: 28232
AC CAR (Barcelona),Calle: Calle Can Magre N1 Local 1,Municipio: Mollet del valles,Provincia: Barcelona,Código postal: 08107
AC MACHINERY TRADING S.L.U.,Calle: Paraje Calera S/N,Municipio: Almeria,Provincia:,Código postal: 04117
AC MACHINERY TRADING SLU,Calle: Pje La Calera S/N,Municipio: Nijar,Provincia:,Código postal: 04117
AC PERFORMANCE,Calle: Albarran 1,Municipio: Vilagarcia de arousa,Provincia: Pontevedra,Código postal: 36600
ACAUTO,"Calle: Calle Mallorca, 92",Municipio: Barcelona,Provincia: Barcelona,Código postal: 08029
ACCIMOVIL,"Calle: Avda. Buenos Aires, 7",Municipio: Guadix - granada,Provincia: Granada,Código postal: 18500
ACCIÓ VO,Calle: Av. Emporda 38 Nave B Pol Ind. Pont Delprincep.,Municipio: Vilamalla,Provincia: Girona,Código postal: 17469
ACEROM ASESORES,Calle: -,Municipio: Madrid,Provincia: Madrid,Código postal: 28600
ACIERTOCARS,Calle: Rio Tormes,Municipio: Algete,Provincia: Madrid,Código postal: 28110
ACOSTA SERVICES CAR SL,Calle: C/ Alcalde Enrique Jorge 3,Municipio: Playa del ingles,Provincia:,Código postal:
"ACTIVACIONS CARRETILLAS, S.L",,,Provincia: Barcelona,
AD CARMARKET,Calle: C/ Huertas Nº5,Municipio: Arnedo,Provincia: La rioja,Código postal: 26580
AD.I.M sl,Calle: Plaza De Gaudi Local28,Municipio: Almeria,Provincia:,Código postal: 04009
ADAM CARS,"Calle: Avda. Alcantarilla, 220",Municipio: Nonduermas,Provincia: Murcia,Código postal: 30166
ADAM FOSTER,Calle: Calle Peru 4 P 1 - 1.,Municipio: Rozas de madrid,Provincia: Madrid,Código postal: 28290
ADAPTA-MOVIL,"Calle: C/Neptuno, Parc.122 P.i. La Estrell",Municipio: Molina de segura,Provincia: Murcia,Código postal: 30500
Adarsa Salamanca Mercedes Benz y Mitsubishi,"Calle: Hoces Del Duratón, 25 , Pol. Ind.montalvo Ii",Municipio: Salamanca,Provincia: Salamanca,Código postal: 37008
ADEINNOVA CONSULTORES SL,"Calle: Carrer Eres, S/N",Municipio: Artesa del segre,Provincia:,Código postal: 25739
Adit Car,Calle: Concretar Cita Previa,Municipio: Madrid,Provincia: Madrid,Código postal: 28939
ADOLFO FERRERO,Calle: Calle Barcelona 24 Nave C,Municipio: Vicolozano,Provincia:,Código postal: 05194
ADVENTURE CENTER,Calle: C/ Regordoño 4,Municipio: Móstoles,Provincia: Madrid,Código postal: 28936
ADVENTURE CENTER VN.,Calle: Regordoño 4,Municipio: Mostoles,Provincia: Madrid,Código postal: 28936
Aelia Motor,"Calle: Carrer De La Indústria, 19,",Municipio: Ripollet,Provincia: Barcelona,Código postal: 08291
AERO AUTOFACTORIA SPAIN,"Calle: Unicef, S/N P.i. Torre Mirona 5-7",Municipio: Salt,Provincia: Girona,Código postal: 17190
AF VANS,Calle: C/ Alejandro Bell 16,Municipio: Zaragoza,Provincia: Zaragoza,Código postal: 50014
AF VANS,Calle: C/ Alejandro Bell 16,Municipio: Zaragoza,Provincia: Zaragoza,Código postal: 50014
"AFRON, S.A.",,,Provincia: Madrid,
AG Buycars,Calle: Carretera De Bailen -Motril S/N,Municipio: Padul,Provincia: Granada,Código postal: 18640
AG CarDrive,"Calle: Rambla Països Catalans 18, Nave 12",Municipio: Vilanova i la geltrú,Provincia: Barcelona,Código postal: 08800
AGNANO INVERSIONES,,,Provincia: Tarragona,
AGRA MARTIN 2016,"Calle: Polígono P-29, C/ Azuela Nº 68",Municipio: Collado villalba,Provincia: Madrid,Código postal: 28400
"AGRÃCOLA CUELLAR, S.A.",,,Provincia: Segovia,
"AGRÃCOLA GARVIN, S.L.",,,Provincia: Toledo,
Agricola Vilanova SL,Calle: Lugar Alto De Vilanova 23,Municipio: Oroso,Provincia:,Código postal: 15888
"AGRINSUR, S.A.",,,Provincia: Sevilla,
AGRISA,"Calle: Avda. De Mendavia,26 Poligono Cantabria, 1",Municipio: Logroño,Provincia: La rioja,Código postal: 26009
AGRITRASA AUTOAGRICOLA,,,Provincia: Toledo,
AGRITRASA MOTOR,"Calle: Ctra. De Toledo, Km 2",Municipio: Ciudad real,Provincia: Ciudad real,Código postal: 13005
AGROCAR,"Calle: P.i. De Camponaraya, P-18 - Sector 1",Municipio: Ponferrada (leon),Provincia:,Código postal: 24410
"AGROMECANICA CARIÑENA, S.L.",,,Provincia: Zaragoza,
AGROMOTOR OCASION,"Calle: Alto De Armentia, 23",Municipio: Vitoria,Provincia: Álava,Código postal: 01007
AGROMOTOR Peugeot Vitoria,"Calle: Alto De Armentia, 23",Municipio: Vitoria,Provincia: Álava,Código postal: 01007
"AGRONIMER, S.L.U.",,,Provincia: Murcia,
Agropecuaria Molet,Calle: Torre Molet S/N,Municipio: Altorricón,Provincia:,Código postal: 22540
Aguas subterraneas,Calle: Ondara,Municipio: Ondara,Provincia:,Código postal: 03760
Aguassubterraneas,Calle: Ondara,Municipio: Ondara,Provincia:,Código postal: 03760
AGÜERAUTO MOTOR,Calle: P.i. Ntra. Sra. Lourdes,Municipio: Coin,Provincia: Málaga,Código postal: 29100
AGUILERA AUTOCENTROS,"Calle: Avenida Del Moncayo, 30",Municipio: San sebastian de los reyes,Provincia: Madrid,Código postal: 28703
AINA MOTORS,Calle: Carretera Los Santos De La Humosa Nave 3º B,Municipio: Pozo de guadalajara,Provincia: Guadalajara,Código postal: 19161
AIR COOLED MOTOR,"Calle: Lucio Benito, 27 Local 2",Municipio: San agustin del guadalix,Provincia: Madrid,Código postal: 28750
AJ Automotive,Calle: Calle Progreso Número 1,Municipio: Utrera,Provincia: Sevilla,Código postal: 41710
AJ AUTOMÓVILES,Calle: Avenida Pablo Neruda,Municipio: Madrid,Provincia: Madrid,Código postal: 28038
AJ MOTORS,Calle: Pasaje Mª Luisa 40,Municipio: Cerdanyola del valles,Provincia: Barcelona,Código postal: 08290
Aj Racing Cars,"Calle: Avenida De Los Yeseros, 15,",Municipio: Valdemoro,Provincia: Madrid,Código postal: 28343
AKAAUTO,Calle: C/ Niza Nº8,Municipio: Mostoles,Provincia: Madrid,Código postal: 28936
ALAIN,Calle: Travesia Jose Huertas Morion 4 7ºa,Municipio: Torrevieja,Provincia: Alicante,Código postal: 03181
ALBA OCASIÓN,"Calle: C/ Real, 45, Local 3. Acceso Por Avenida Coria",Municipio: Gelves,Provincia: Sevilla,Código postal: 41120
ALBERTO POZUELO,Calle: .,Municipio: Pozuelo de alarcon,Provincia: Madrid,Código postal: 28224
ALBO EXPORT,Calle: Concertar Cita Previa,Municipio: Aldeamayor de san martín,Provincia: Valladolid,Código postal: 47162
ALBORAN MOTOR,Calle: Ctra. N - 340 Km -446,Municipio: Huercal,Provincia: Almería,Código postal: 04230
ALCALA 534 CTRA VALENCIA VN,"Calle: 6,7 Km · Ctra. De Valencia, Km 7,3, Av. De La Democracia, 21",Municipio: Madrid,Provincia: Madrid,Código postal: 28043
ALCOMA INTERNACIONAL 1984 - GRANADA,Calle: C/ Periodista Fernando Gomez De La Cruz Nº17 3ª Planta,Municipio: Granada,Provincia:,Código postal: 18014
ALCOMOCION,"Calle: Maestro Roman, 1",Municipio: Elche,Provincia: Alicante,Código postal: 3204
ALD ARGANDA DURSAN,Calle: Avenida De Madrid 7,Municipio: Madrid,Provincia: Madrid,Código postal: 28500
ALD BURGOS DURSAN,Calle: Avenida Pedernales 12 Carretera De Madrid-Irún,Municipio: Villagonzalo,Provincia: Burgos,Código postal: 09195
ALD DURSAN SALAMANCA,"Calle: Ctra. Valladolid, 131",Municipio: Salamanca,Provincia: Salamanca,Código postal: 37184
ALD LEON DURSAN,"Calle: Av. Párroco Pablo Diez, C. La Raya, 513",Municipio: Leon,Provincia: León,Código postal: 24010
