nombre,calle,municipio,provincia,codigo_postal
--AUTOMOVILES VIA NORTE --,C/ Rosalia De Castro 7 - 9,Naron,La coruña,15570.0
*ACS MOTOR*,"Carretera Villanueva De La Jara, 25",Iniesta,Cuenca,16235.0
+ QUE COCHES,Avda Pio Xii 85,Talavera de la reina,Toledo,45600.0
11ELEVEN,Concertar Cita Previa,Madrid,Madrid,28294.0
13 Premium Cars,"Cars Carrer Benito Pérez Galdós, 27,",Aldaia,Valencia,46960.0
14 GARAGE,Blasco De Garay 49,Villalbilla,Madrid,28810.0
2015 GESTIO MOTORS,"Carretera De Girona A Banyoles Km 14,5 Borgonya",Cornella de terri,Girona,17844.0
24H Lemans,--,Picassent,Valencia,46220.0
3 RL CARS,"Calle Gremio De Los Carpinteros 8 Nave B Polig , I,",Segovia,Segovia,40195.0
3D WORLD SPAIN,Concertar Cita Previa,Madrid,Madrid,28030.0
4X4 LA AZUCARERA,"C/ Cuevas Bajas, 8",Malaga,Málaga,29004.0
500 MILLAS AUTOMOVILES,"Manacor, 43",Palma de mallorca,Islas baleares,7006.0
515 Auto-Grs,Concretar Cita Previa,Marbella,Málaga,29602.0
66 Garage,C/ Norte 1,Moraleja de enmedio,Madrid,28950.0
77 CARS,Avda. Pilar Calvo S/N Marbella Arena,"Nueva andalucia ,",Málaga,29660.0
7CARS MOTION,Puerta Del Mar 3 Local 18 (Torre Del Mar),Velez,Málaga,29740.0
81 MOTOR,"C. De La Zanfona, 2",Valladolid,Valladolid,47012.0
90 AND ONE TEN,"Calle Del Castell, 2",Rajadell,Barcelona,8256.0
911 MADRID,Poligono Industrial Neinor,La moraleja,Madrid,28109.0
A G C,Vizcaya,Vizcaya,Vizcaya,48530.0
A. J. Investment Logistics Control S.L.,Calle Canalejas 14.,Don benito,,6400.0
A.ROMAN SANCHEZ S.L,"Av. Ciencia (Pol. Emilio Castro), 5",Alcazar de san juan,Ciudad real,13600.0
AB CARS LLEIDA,Poligono Al-Kaniz Calle 8 Nave 1,Rosello,Lleida,25124.0
AB Development SL,"Calle Finlandia 28 , Pol Industrial San Pedro",Malaga,,29670.0
Ab Marbella Cars,"Carretera De Cadiz (Km 192.5 Elviria),",Marbella,Málaga,29604.0
AB MOTOR,Avenida Valencia 26,El vergel,Alicante,3770.0
ABALO SPORT,"Av. Eloy Dominguez Veiga, 10",Catoira,Pontevedra,36612.0
ABASTAUTO,Concertar Cita Previa,Sant fruitós de bages,Barcelona,8248.0
ABATE AUTO Cars and Services,Eivissa,Eivissa,Islas baleares,7800.0
ABEL AUTOMOVILES,Avda. Principal 3 Piedras Blancas,Castrillon,Asturias,33450.0
AC CAR,Calle Dublin Nº 7,Las rozas,Madrid,28232.0
AC CAR (Barcelona),Calle Can Magre N1 Local 1,Mollet del valles,Barcelona,8107.0
AC MACHINERY TRADING S.L.U.,Paraje Calera S/N,Almeria,,4117.0
AC MACHINERY TRADING SLU,Pje La Calera S/N,Nijar,,4117.0
AC PERFORMANCE,Albarran 1,Vilagarcia de arousa,Pontevedra,36600.0
ACAUTO,"Calle Mallorca, 92",Barcelona,Barcelona,8029.0
ACCIMOVIL,"Avda. Buenos Aires, 7",Guadix - granada,Granada,18500.0
ACCIÓ VO,Av. Emporda 38 Nave B Pol Ind. Pont Delprincep.,Vilamalla,Girona,17469.0
ACEROM ASESORES,-,Madrid,Madrid,28600.0
ACIERTOCARS,Rio Tormes,Algete,Madrid,28110.0
ACOSTA SERVICES CAR SL,C/ Alcalde Enrique Jorge 3,Playa del ingles,,0.0
"ACTIVACIONS CARRETILLAS, S.L",,,Barcelona,0.0
AD CARMARKET,C/ Huertas Nº5,Arnedo,La rioja,26580.0
AD.I.M sl,Plaza De Gaudi Local28,Almeria,,4009.0
ADAM CARS,"Avda. Alcantarilla, 220",Nonduermas,Murcia,30166.0
ADAM FOSTER,Calle Peru 4 P 1 - 1.,Rozas de madrid,Madrid,28290.0
