municipio,cantidad_coches,precio_medio
29004,9,33628.89
A coruña,6,54696.67
Ajalvir,1,34950.0
Alaejos,1,15000.0
Alaquas,22,47641.55
Albacete,6,19126.83
Alcala de guadaira,3,29466.0
Alcala de henares,4,21865.0
Alcalá de henares,11,23303.64
Alcobendas,3,45491.67
Alcorcon,28,28068.57
Alcorcón,8,17715.0
Algeciras,7,22147.14
Algezares,2,20440.0
Alhaurin el grande,4,18740.0
Alicante,37,54424.86
Almagro,5,21994.0
Almeria,1,22900.0
Alpedrete,8,18843.75
Alzira,8,31337.5
Anoeta,2,11240.0
Aranguren,2,36400.0
Argamasilla de calatrava,3,19156.67
Arganda del rey,10,17611.0
Argentona,3,10433.33
Arona,2,19990.0
Arroyomolinos,4,20150.0
Astigarraga,3,10833.33
Ayamonte,1,9800.0
Badajoz,21,21112.86
Badal,12,17038.33
Badalona,6,20716.67
Bailen,1,14490.0
Balaguer,1,22850.0
Banastas,4,50662.5
Barakaldo,3,27100.0
Barbera del valles,1,33490.0
Barcelona,43,48703.02
Bellreguard,1,189999.0
Benalmadena,1,18999.0
Benalmádema,1,15800.0
Benicarlo,8,23287.5
Bigues i riells,2,20195.0
Bilbao,6,32348.33
Blanes,1,17690.0
Boadilla del monte,1,110000.0
Burgos,16,35205.62
Buñol,1,9500.0
Cabezo de torres,7,115042.86
Cabrera de mar,14,23625.71
Caceres,22,27872.73
Cadiz,3,12990.0
Calonge,2,13300.0
Calonge de segarra,21,23374.76
Camargo,5,19480.0
Carbajosa de la sagrada,1,29600.0
Carerizos,1,30000.0
Cartagena,1,22500.0
Casserres,1,20750.0
Castellon,7,26469.29
Castellón,7,29557.14
Castellón de la plana,5,18772.0
Castrillón,4,18512.5
Ciudad real,4,38835.0
Collado villalba,6,21295.0
Concentaina,39,44338.46
Conil,1,21900.0
Cordoba,43,31919.88
Cordovilla,1,17900.0
Cornellà de llobregat,2,25240.0
Coslada,10,30930.1
Crevillente,8,10373.62
Cuenca,2,18900.0
Córdoba,1,19900.0
Daya vieja,1,29500.0
Derio,11,22113.64
Don benito,5,20586.0
Ecija,1,18490.0
El cuervo,3,19646.33
El ejido,33,39385.15
