municipio,cantidad_coches,precio_medio
29004,9,33628.89
A coruña,6,54696.67
Acoruña,1,10900.0
Ajalvir,1,34950.0
Alaejos,1,15000.0
Alaquas,26,48464.77
Albacete,9,22192.33
Alcala de guadaira,5,23079.2
Alcala de henares,4,21865.0
Alcalá de henares,11,23303.64
Alcobendas,3,45491.67
Alcorcon,30,28108.17
Alcorcón,8,17715.0
Algeciras,9,22334.44
Algezares,2,20440.0
Alhaurin el grande,4,18740.0
Alicante,50,49184.4
Almagro,6,20326.67
Almeria,2,26445.0
Alpedrete,8,18843.75
Alzira,12,35775.0
Anoeta,2,11240.0
Aparecida,2,11244.5
Aranguren,2,36400.0
Argamasilla de calatrava,3,19156.67
Arganda del rey,11,16919.09
Argentona,3,10433.33
Arona,2,19990.0
Arroyomolinos,38,20139.47
Astigarraga,3,10833.33
Ayamonte,1,9800.0
Badajoz,26,19086.73
Badal,12,17038.33
Badalona,8,25387.5
Bailen,2,13240.0
Balaguer,1,22850.0
Banastas,4,50662.5
Barakaldo,11,24389.55
Barbera del valles,1,33490.0
Barcelona,50,46810.6
Begijar,9,10821.22
Bellreguard,1,189999.0
Benalmadena,2,14249.5
Benalmádema,1,15800.0
Benicarlo,8,23287.5
Bigues i riells,2,20195.0
Bilbao,10,34369.0
Blanes,1,17690.0
Boadilla del monte,1,110000.0
Burgos,16,35205.62
Buñol,1,9500.0
Cabezo de torres,10,102700.0
Cabrera de mar,14,23625.71
Caceres,22,27872.73
Cadiz,3,12990.0
Calonge,2,13300.0
Calonge de segarra,23,24424.35
Camargo,5,19480.0
Carbajosa de la sagrada,2,24750.0
Carerizos,1,30000.0
Cartagena,1,22500.0
Casserres,2,18000.0
Castellon,10,28263.1
Castellón,9,26188.89
Castellón de la plana,5,18772.0
Castrillón,4,18512.5
Ciudad real,4,38835.0
Cobeña,4,24415.0
Collado villalba,7,22095.71
Concentaina,39,44338.46
Conil,1,21900.0
Cordoba,65,31166.23
Cordovilla,1,17900.0
Cornellà de llobregat,2,25240.0
Coslada,11,31300.0
Crevillente,8,10373.62
Cuarte de huerva,4,9374.0
Cuenca,2,18900.0
Córdoba,3,17900.0
Daimiel,1,64990.0
