municipio,cantidad_coches,precio_medio
29004,24,33166.25
A coruña,44,33052.39
Acoruña,1,10900.0
Ajalvir,2,34471.5
Alaejos,1,15000.0
Alaquas,65,41745.78
Albacete,43,24569.53
Albolote,2,48740.0
Alcala de guadaira,13,35322.77
Alcala de henares,5,21090.0
Alcala la real,1,5600.0
Alcalá de henares,27,27394.07
Alcantarilla,1,19500.0
Alcarras,2,14695.0
Alcobendas,25,26516.0
Alcorcon,136,24341.25
Alcorcón,15,19743.33
Algeciras,997,22189.29
Algete,1,29932.0
Algezares,14,22254.29
Alhaurin el grande,7,19775.71
Alicante,123,44667.88
Almagro,7,20637.14
Almassora,1,16400.0
Almendralejo,2,2950.0
Almeria,32,22203.12
Alpedrete,31,15922.55
Altea,2,22225.0
Alzira,27,32925.89
Anoeta,2,11240.0
Aparecida,2,11244.5
Aranda de duero,9,19877.78
Aranguren,10,40560.0
Aranjuez,1,4500.0
Arcos de la frontera,1,18900.0
Argamasilla de calatrava,11,21317.27
Arganda del rey,42,15422.14
Argentona,7,9878.43
Arona,4,16117.5
Arroyomolinos,100,21877.52
Artica,2,8249.0
Astigarraga,6,16283.33
Atarfe,3,31823.33
Ayamonte,2,11800.0
Badajoz,31,19366.29
Badal,41,19118.78
Badalona,15,25436.67
Baena,3,17633.33
Bailen,2,13240.0
Balaguer,2,21675.0
Baleares,3,18666.67
Banastas,9,60633.33
Barakaldo,44,26940.05
Barbastro,1,12200.0
Barbera del valles,1,33490.0
Barcelona,100,44654.75
Basauri,1,34700.0
Begijar,9,10821.22
Bellreguard,2,124999.0
Benalmadena,2,14249.5
Benalmádema,3,19300.0
Benicarlo,28,27782.14
Beniparrell,1,15990.0
Bigues i riells,5,22454.0
Bilbao,37,43361.57
Blanes,1,17690.0
Boadilla del monte,3,97133.33
Burgos,37,35094.19
Buñol,1,9500.0
C/ monaco 28,1,26900.0
Cabezo de torres,15,110500.0
Cabezuela del valle,1,13600.0
Cabrera de mar,14,23625.71
Caceres,51,23110.0
Cadiz,3,12990.0
Calonge,2,13300.0
Calonge de segarra,37,26229.19
Calpe,1,236000.0
Calvià,2,8995.0
Camargo,37,20759.46
Camas,1,98700.0
Cangas del narcea,1,25500.0
Caravaca de la cruz,1,6500.0
Carbajosa de la sagrada,12,24125.0
Cardedeu,4,163900.0
Carerizos,2,47000.0
Carrion de los cespedes,2,29749.5
Cartagena,2,22100.0
Casserres,6,24845.0
Castellon,69,29679.99
Castellón,40,27865.25
Castellón de la plana,35,18910.86
Castrillón,26,19332.69
"Cerdanyola del valles,",6,26991.5
Ciudad real,27,27807.41
Cobeña,7,25148.57
Cogullada-carcaixent,1,19900.0
Coin,1,10999.0
Collado villalba,19,23003.16
Colmenar viejo,1,10990.0
Concentaina,56,44778.57
Conil,1,21900.0
Cordoba,167,31141.14
Cordovilla,1,17900.0
Cornella de terri,10,6910.0
Cornellà de llobregat,2,25240.0
Cornellá de llobregat,2,35890.0
Coslada,44,28692.27
Crevillente,9,9498.78
Cuarte de huerva,6,8499.0
Cuenca,8,20146.25
Cullera,1,13800.0
Córdoba,3,17900.0
Daimiel,1,64990.0
Daya vieja,1,29500.0
Derio,35,20115.71
Don benito,28,19832.5
Donostia,8,29525.0
Dos hermanas,1,41990.0
Durango,1,17490.0
Ecija,7,27448.57
El cuervo,4,20334.75
El ejido,101,38830.5
El prat de llobregat,71,18573.08
El puerto de santa maría,7,58275.71
El vergel,4,44825.0
Elche,177,34160.93
Elda,1,14750.0
Erandio,86,26320.99
Espinardo,16,29756.25
Esplugues de llobregat,11,20155.45
Estepona,19,20439.79
Figueres,4,26995.0
Finestrat,2,18242.5
Foios,12,23270.0
Fornells de la selva,98,22909.29
Fraga,7,20871.43
Fuencarral-el pardo,13,45885.77
Fuenlabrada,36,23327.5
Galdakao,46,29969.17
Gandia,36,19523.06
Gavà,10,45231.0
Gelves,13,17046.15
Getafe,18,39674.44
Gijon,73,33507.95
Gijón,2,17700.0
Girona,5,25298.0
Godelleta,4,7475.0
Granada,81,26717.16
Granadilla de abona,29,17961.9
Granollers,14,29422.86
Guadalajara,6,26893.33
Guardiola de berguedà,2,7370.0
Guaza,4,10865.0
Guitiriz,1,34600.0
Haro,6,18923.33
Hellin,2,10100.0
Hernani,1,36000.0
Hospitalet de llobregat,2,168350.0
Huelva,72,20506.74
Huercal,1,34900.0
Huercal de almeria,1,7900.0
Huesca,23,23388.22
Humanes,14,10275.71
Humanes de madrid,19,27543.16
Huércal de almería,5,24266.0
Ibiza,49,22450.0
Igollo de camargo,18,40634.44
Igualada,1,68900.0
Illescas,22,3041.32
Irun,1,8900.0
Iurreta,27,22874.07
Jaen,5,30140.0
Jarrio-coaña,1,42900.0
Jaén,1,19550.0
Jerez de la frontera,76,24773.36
Jerez de los caballeros,4,25925.0
Jávea,2,21450.0
L'hospitalet de llobregat,17,22672.35
La canonja,1,43500.0
La coruña,32,22400.0
La laguna,3,23656.67
La moraleja,1,79900.0
La nucia,1,12990.0
La puebla de alfindén,2,21350.0
La puebla del rió,1,3800.0
La rinconada,6,17166.67
Langreo,25,18255.2
Las chafiras,33,23141.52
Las palmas,6,20759.17
Las palmas de gran canaria,479,29310.51
Las rozas,20,25240.75
Lebrija,6,25760.0
Leganes,114,21920.39
Leganés,94,16320.32
Leioa,4,21195.0
Lejon,1,35900.0
Leon,1,41900.0
Lepe,2,18700.0
Les franqueses,2,15700.0
León,1,27990.0
Linares,19,20760.63
Llano de brujas,18,4005.56
Lleida,51,20895.88
Llerona,50,19928.8
Llinars del valles,12,28531.67
Lliçà de vall,1,4500.0
Logroño,41,31722.44
Logroño - la rioja,1,13800.0
Lora del rio,2,24400.0
Lorca,17,18923.53
Lugo,35,25101.29
Lugones,12,41814.17
Madrid,3389,20913.04
Mahón - menorca,20,19040.0
Mairena del aljarafe,9,25508.89
Majadahonda,72,41538.35
Malaga,115,26217.46
Manacor,4,15262.5
Manilva,3,22683.33
Manlleu,1,3495.0
Manresa,17,28176.47
Marbella,42,83022.52
Marratxi,13,13876.85
Massanassa,1,6490.0
Massanassa/masanasa,2,48850.0
Mataró,12,16576.67
Meejorada del campo,1,21490.0
Meicende,3,23156.67
Meis,5,32090.0
Mejorada del campo,19,21940.37
Meliana,21,45208.48
Meres-siero,1,9500.0
Merida,13,21461.54
Miami playa,4,26562.5
Miguelturra,2,17400.0
Mijas,13,16771.92
Mijas - algeciras,30,23497.0
Mijas costa,3,19800.0
Molina de segura,11,26690.0
Molins de rei,6,20490.0
Moncada,2,17490.0
Montegudo,2,11249.5
Montijo,2,14100.0
Montmelo,2,25490.0
Montserrat,3,21156.67
Monturque,1,15900.0
Mos,5,26500.0
Mostoles,20,20993.5
Motril,5,16822.0
Murcia,35,105374.29
Málaga,90,20544.03
Mérida,1,35890.0
Móstoles,29,24369.66
Negreira,1,23500.0
Numancia de la sagra,2,21899.5
Ojos de garza,15,18391.33
Oleiros,45,23041.11
Olias del rey,69,42138.7
Olot,1,9990.0
Olías del rey,11,52100.0
Ondara,4,104500.0
Ontigola,1,84900.0
Orense,6,50383.33
Orihuela,1,22490.0
Osuna,24,28131.25
Ourense,44,20354.55
Oviedo,31,21149.35
Palafolls,6,11083.33
Palafrugell,6,29166.67
Palencia,8,18950.0
Palma,6,22240.0
Palma de mallorca,111,26916.55
Parets del valles,1,11995.0
Parla,125,19404.87
Paterna,47,21873.62
Peal de becerro,1,8400.0
Perales del río,1,7995.0
Perillo oleiros,35,21374.0
Perillo-oleiros,31,43732.26
Peñaranda de bracamonte,6,36749.0
Picassent,1,18999.0
Pilar de la horadada,1,16999.0
Pineda de mar,1,21490.0
Pinto,50,27475.06
Plasencia,50,26303.2
Ponteareas,19,21220.53
Pontevedra,8,18525.0
Port de sagunt,1,12990.0
Pozoblanco,3,29900.0
Pozuelo de alarcon,2,17995.0
Pozuelo de alarcón,16,17987.5
Prat de llobregat,1,39900.0
Puebla de sancho pérez,25,18944.0
Puente genil,1,49500.0
Puente tocinos,9,24490.0
Puerto de santa maria,8,19517.5
Puerto real,5,19500.0
Puertollano,2,26950.0
Quart de poblet,1,239900.0
Rafelbuñol,16,17771.25
Rajadell,1,19500.0
Reocín,11,18408.18
Reus,61,20840.39
Ribadeo,2,9400.0
Ribarroja del turia,83,20748.55
Ripoll,4,6537.5
Ripollet,1,14950.0
Rivas vaciamadrid,45,20117.33
Rubí,1,49900.0
Rural gijón,3,19123.33
Sabadell,92,31059.43
Sabiñánigo,16,29187.5
Salamanca,5,16160.0
Salcedo,28,21867.86
Salt,4,138225.0
San andres del rabanedo,19,42031.58
San blas-canillejas,2,23590.0
San boi de llobregat,52,19112.5
San ciprian de viñas,5,51360.0
San cugat del valles,1,25950.0
San fernando de henares,188,21407.55
San javier,8,17524.12
San jorge,6,23628.33
San luis,4,28900.0
San miguel de abona,41,45542.93
San pedro de alcantara,4,21920.0
San salvador de muxa,19,49778.95
San sebastian de los reyes,15,141498.67
San sebastián de los reyes,29,46355.83
San vicente del raspeig,1,13000.0
Sant adrià de besòs,651,17098.54
Sant boi de llobregat,19,20674.21
Sant cugat del vallès,1,129900.0
Sant feliu de llobregat,39,18646.92
Sant fuitos de bages,4,18825.0
Sant just desvern,4,23182.0
Sant just desvern (barcelona),1,21900.0
Santa cruz de tenerife,6,21575.0
Santa fe,7,17218.57
Santa lucia de tirajana,1,13900.0
Santa pola,16,17250.0
Santa rosalia,3,17160.0
Santander,35,18077.26
Santiago de compostela,80,22540.85
Sants - montjuïc,79,19032.59
Sarrià de ter,2,13000.0
Sedaví,12,18244.08
Segovia,7,19564.29
Segur de calafell,2,10440.0
Sestao,1,21400.0
Sevilla,202,45578.7
Sevilla la nueva,3,23666.67
Siero,1,10490.0
Soria,1,45920.0
Sotillo de la adrada,6,36915.0
Sueca,2,44345.0
Sunbilla,3,15832.33
Talavera de la reina,3,74150.0
Tarragona,22,24489.32
Tarrega,2,24650.0
Telde,36,24584.72
Teo,35,29212.0
Terrasa,1,9990.0
Terrassa,47,31604.04
Toledo,1,18900.0
Torralba de calatrava,2,14240.0
Torrefarrera,6,3610.0
Torrejon de ardoz,121,20265.35
Torremolinos,4,20217.5
Torrent,21,32757.57
Torrevieja,9,17323.33
Torrijos,1,36950.0
Tortosa,3,17316.67
Trapagaran,3,15566.67
Trigueros,1,12300.0
Trobajo del camino,64,20477.5
Trobajo del camino-leon,12,35297.5
Ubeda,6,31458.17
Utrera,7,13550.0
Valdemoro,9,20431.11
Valdepeñas,8,21727.5
Valencia,208,26343.41
Valladolid,35,31924.86
Valverde de leganes,2,73990.0
València,44,20073.98
Vejer,22,20754.09
Velez,23,18618.26
Velez malaga,1,26700.0
Velilla de san antonio,63,13997.94
Venturada,4,29867.5
Vic,9,26294.44
Vigo,119,34973.96
Vila-real,5,18090.0
Viladecans,6,9240.0
Vilafranca del penedes,8,27500.0
Vilafranca del penedès,2,19690.0
Vilagarcia de arousa,24,70994.08
Vilamalla,1,29900.0
Villamartin,16,14496.88
Villanueva de córdoba,42,36079.76
Villanueva de la cañada,3,22993.33
Villares de la reina,12,34239.17
"Villares de la reina,",122,25811.31
Villava,7,15874.29
Villaviciosa de odon,12,54414.33
Villaviciosa de odón,2,29395.0
Vimianzo,1,46900.0
Vinarós,1,8900.0
Vitoria,15,31703.33
Vitoria-gasteiz,23,21930.0
Vizcaya,29,22689.69
Vélez,5,16674.0
Xativa,9,26098.89
Zamora,1,49900.0
Zaragoza,206,39163.45
Zaratan,21,20309.52
Zaratán,122,25811.31
Zarautz,1,33900.0
Ávila,3,32596.67
